intercommunalite.2017_EPCI,X..Date,CA.réalisé,Freq
200000438,2014,,1
200023778,2014,,0
200055887,2014,,0
200060010,2014,,0
200067346,2014,,0
200067866,2014,,2
200068955,2014,,1
200070233,2014,,1
200071546,2014,,3
200071553,2014,,2
200071678,2014,,1
200071868,2014,,1
200071876,2014,,2
200071900,2014,,1
200071918,2014,,0
200071934,2014,,4
200072676,2014,,0
200072718,2014,,0
200072726,2014,,0
200072734,2014,,0
200072882,2014,,1
200073260,2014,,3
243500741,2014,,1
244400404,2014,,3
244400503,2014,,0
244400552,2014,,0
244400586,2014,,1
244400610,2014,,0
244400644,2014,,2
244900015,2014,,4
244900809,2014,,1
245300223,2014,,3
245300330,2014,,2
245300389,2014,,2
246100663,2014,,0
247200447,2014,,2
247200629,2014,,2
247200686,2014,,0
248500191,2014,,0
248500258,2014,,4
248500340,2014,,2
248500415,2014,,0
248500464,2014,,2
248500530,2014,,0
248500589,2014,,5
248500621,2014,,3
248500662,2014,,2
200000438,2015,,0
200023778,2015,,0
200055887,2015,,2
200060010,2015,,0
200067346,2015,,1
200067866,2015,,1
200068955,2015,,2
200070233,2015,,0
200071546,2015,,2
200071553,2015,,0
200071678,2015,,2
200071868,2015,,2
200071876,2015,,1
200071900,2015,,1
200071918,2015,,0
200071934,2015,,1
200072676,2015,,0
200072718,2015,,0
200072726,2015,,1
200072734,2015,,0
200072882,2015,,0
200073260,2015,,1
243500741,2015,,0
244400404,2015,,5
244400503,2015,,1
244400552,2015,,0
244400586,2015,,0
244400610,2015,,1
244400644,2015,,0
244900015,2015,,1
244900809,2015,,1
245300223,2015,,1
245300330,2015,,0
245300389,2015,,1
246100663,2015,,0
247200447,2015,,1
247200629,2015,,1
247200686,2015,,0
248500191,2015,,1
248500258,2015,,1
248500340,2015,,1
248500415,2015,,2
248500464,2015,,0
248500530,2015,,0
248500589,2015,,4
248500621,2015,,1
248500662,2015,,0
200000438,2016,,0
200023778,2016,,1
200055887,2016,,1
200060010,2016,,1
200067346,2016,,0
200067866,2016,,0
200068955,2016,,0
200070233,2016,,0
200071546,2016,,1
200071553,2016,,1
200071678,2016,,0
200071868,2016,,0
200071876,2016,,1
200071900,2016,,1
200071918,2016,,0
200071934,2016,,1
200072676,2016,,0
200072718,2016,,0
200072726,2016,,3
200072734,2016,,1
200072882,2016,,1
200073260,2016,,1
243500741,2016,,0
244400404,2016,,3
244400503,2016,,1
244400552,2016,,0
244400586,2016,,0
244400610,2016,,5
244400644,2016,,1
244900015,2016,,1
244900809,2016,,0
245300223,2016,,0
245300330,2016,,1
245300389,2016,,0
246100663,2016,,0
247200447,2016,,1
247200629,2016,,0
247200686,2016,,1
248500191,2016,,0
248500258,2016,,2
248500340,2016,,1
248500415,2016,,0
248500464,2016,,0
248500530,2016,,0
248500589,2016,,0
248500621,2016,,2
248500662,2016,,0
200000438,2017,,0
200023778,2017,,1
200055887,2017,,1
200060010,2017,,0
200067346,2017,,2
200067866,2017,,1
200068955,2017,,0
200070233,2017,,0
200071546,2017,,0
200071553,2017,,1
200071678,2017,,0
200071868,2017,,0
200071876,2017,,2
200071900,2017,,0
200071918,2017,,1
200071934,2017,,1
200072676,2017,,1
200072718,2017,,0
200072726,2017,,1
200072734,2017,,2
200072882,2017,,0
200073260,2017,,1
243500741,2017,,0
244400404,2017,,0
244400503,2017,,0
244400552,2017,,0
244400586,2017,,1
244400610,2017,,0
244400644,2017,,1
244900015,2017,,1
244900809,2017,,1
245300223,2017,,0
245300330,2017,,1
245300389,2017,,1
246100663,2017,,0
247200447,2017,,2
247200629,2017,,1
247200686,2017,,0
248500191,2017,,1
248500258,2017,,1
248500340,2017,,0
248500415,2017,,3
248500464,2017,,1
248500530,2017,,1
248500589,2017,,1
248500621,2017,,1
248500662,2017,,0
